"Selected population characteristics, Canada, ecozones and ecoregions" 1 2 3 4
"Every 5 years"
"Table: 38-10-0047-01 (formerly CANSIM 153-0057)"
"Geography: Canada, Ecozone, Ecoregion"

"Geography4","Population characteristics","1996","2001","2006","2011","2016"
,"Population per private occupied dwelling in rural areas 5 6","2.9","2.6","2.5","2.5","2.4"
"Thompson-Okanagan Plateau (ecoregion)","Total population","404,264","416,674","442,310","473,428","497,993"
,"Population in population centres 5","270,666","303,603","327,251","351,947","377,462"
,"Population in rural areas 5","133,598","113,071","115,059","121,481","120,531"
,"","Number per square kilometre",,,,
,"Total population density","11.129","11.471","12.177","13.034","13.710"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","67.0","72.9","74.0","74.3","75.8"
,"Population in rural areas as a share of total population 5","33.0","27.1","26.0","25.7","24.2"
,"","Number",,,,
,"Private occupied dwellings 6","158,521","171,596","184,307","199,139","211,212"
,"Private occupied dwellings in population centres 5 6","109,003","127,409","138,883","150,068","161,229"
,"Private occupied dwellings in rural areas 5 6","49,518","44,187","45,424","49,071","49,983"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","4.364","4.724","5.074","5.482","5.815"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.6","2.4","2.4","2.4","2.4"
,"Population per private occupied dwelling in population centres 5 6","2.5","2.4","2.4","2.3","2.3"
,"Population per private occupied dwelling in rural areas 5 6","2.7","2.6","2.5","2.5","2.4"
"Okanagan Range (ecoregion)","Total population","4,286","5,274","5,495","5,586","5,659"
,"Population in population centres 5","0","0","0","0","1,714"
,"Population in rural areas 5","4,286","5,274","5,495","5,586","3,945"
,"","Number per square kilometre",,,,
,"Total population density","0.958","1.179","1.228","1.248","1.265"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","30.3"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","69.7"
,"","Number",,,,
,"Private occupied dwellings 6","1,855","2,359","2,438","2,480","2,613"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","816"
,"Private occupied dwellings in rural areas 5 6","1,855","2,359","2,438","2,480","1,797"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.415","0.527","0.545","0.554","0.584"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.3","2.2","2.3","2.3","2.2"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","2.1"
,"Population per private occupied dwelling in rural areas 5 6","2.3","2.2","2.3","2.3","2.2"
"Okanagan Highland (ecoregion)","Total population","25,557","26,509","26,794","26,481","27,069"
,"Population in population centres 5","14,357","15,467","16,064","16,620","15,919"
,"Population in rural areas 5","11,200","11,042","10,730","9,861","11,150"
,"","Number per square kilometre",,,,
,"Total population density","21.623","22.429","22.670","22.405","22.903"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","56.2","58.3","60.0","62.8","58.8"
,"Population in rural areas as a share of total population 5","43.8","41.7","40.0","37.2","41.2"
,"","Number",,,,
,"Private occupied dwellings 6","10,688","11,561","11,780","11,761","12,387"
,"Private occupied dwellings in population centres 5 6","6,389","7,102","7,348","7,620","7,414"
,"Private occupied dwellings in rural areas 5 6","4,299","4,459","4,432","4,141","4,973"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","9.043","9.782","9.967","9.951","10.480"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.4","2.3","2.3","2.3","2.2"
,"Population per private occupied dwelling in population centres 5 6","2.2","2.2","2.2","2.2","2.1"
,"Population per private occupied dwelling in rural areas 5 6","2.6","2.5","2.4","2.4","2.2"
"Selkirk-Bitterroot Foothills (ecoregion)","Total population","35,835","34,382","32,295","33,971","34,247"
,"Population in population centres 5","25,331","26,292","24,930","26,526","26,026"
,"Population in rural areas 5","10,504","8,090","7,365","7,445","8,221"
,"","Number per square kilometre",,,,
,"Total population density","4.707","4.516","4.242","4.462","4.498"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","70.7","76.5","77.2","78.1","76.0"
,"Population in rural areas as a share of total population 5","29.3","23.5","22.8","21.9","24.0"
,"","Number",,,,
,"Private occupied dwellings 6","14,482","14,582","14,102","14,897","15,354"
,"Private occupied dwellings in population centres 5 6","10,425","11,237","10,925","11,690","11,666"
,"Private occupied dwellings in rural areas 5 6","4,057","3,345","3,177","3,207","3,688"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","1.902","1.915","1.852","1.957","2.017"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.5","2.4","2.3","2.3","2.2"
,"Population per private occupied dwelling in population centres 5 6","2.4","2.3","2.3","2.3","2.2"
,"Population per private occupied dwelling in rural areas 5 6","2.6","2.4","2.3","2.3","2.2"
"Southern Rocky Mountain Trench (ecoregion)","Total population","49,392","47,722","46,853","47,832","49,241"
,"Population in population centres 5","29,875","31,598","30,709","32,537","29,894"
,"Population in rural areas 5","19,517","16,124","16,144","15,295","19,347"
,"","Number per square kilometre",,,,
,"Total population density","7.316","7.068","6.940","7.085","7.293"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","60.5","66.2","65.5","68.0","60.7"
,"Population in rural areas as a share of total population 5","39.5","33.8","34.5","32.0","39.3"
,"","Number",,,,
,"Private occupied dwellings 6","19,042","19,918","19,735","20,299","21,197"
,"Private occupied dwellings in population centres 5 6","11,702","13,102","13,036","13,812","12,731"
,"Private occupied dwellings in rural areas 5 6","7,340","6,816","6,699","6,487","8,466"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","2.820","2.950","2.923","3.007","3.140"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.6","2.4","2.4","2.4","2.3"
,"Population per private occupied dwelling in population centres 5 6","2.6","2.4","2.4","2.4","2.3"
,"Population per private occupied dwelling in rural areas 5 6","2.7","2.4","2.4","2.4","2.3"
"Northern Continental Divide (ecoregion)","Total population","39,058","42,397","42,153","43,950","46,694"
,"Population in population centres 5","27,972","28,946","29,771","30,635","32,727"
,"Population in rural areas 5","11,086","13,451","12,382","13,315","13,967"
,"","Number per square kilometre",,,,
,"Total population density","2.765","3.001","2.984","3.111","3.305"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","71.6","68.3","70.6","69.7","70.1"
,"Population in rural areas as a share of total population 5","28.4","31.7","29.4","30.3","29.9"
,"","Number",,,,
,"Private occupied dwellings 6","14,185","16,933","16,915","17,345","18,120"
,"Private occupied dwellings in population centres 5 6","10,366","11,946","12,141","12,348","12,994"
,"Private occupied dwellings in rural areas 5 6","3,819","4,987","4,774","4,997","5,126"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","1.004","1.199","1.197","1.228","1.283"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.8","2.5","2.5","2.5","2.6"
,"Population per private occupied dwelling in population centres 5 6","2.7","2.4","2.5","2.5","2.5"
,"Population per private occupied dwelling in rural areas 5 6","2.9","2.7","2.6","2.7","2.7"
"Hudson Plains (ecozone)","Total population","11,811","9,530","8,750","11,711","13,483"
,"Population in population centres 5","6,396","3,243","4,618","4,937","6,552"
,"Population in rural areas 5","5,415","6,287","4,132","6,774","6,931"
,"","Number per square kilometre",,,,
,"Total population density","0.034","0.027","0.025","0.033","0.038"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","54.2","34.0","52.8","42.2","48.6"
,"Population in rural areas as a share of total population 5","45.8","66.0","47.2","57.8","51.4"
,"","Number",,,,
,"Private occupied dwellings 6","2,872","2,540","2,265","2,995","3,587"
,"Private occupied dwellings in population centres 5 6","1,717","788","1,071","1,309","1,818"
,"Private occupied dwellings in rural areas 5 6","1,155","1,752","1,194","1,686","1,769"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.008","0.007","0.006","0.009","0.010"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.1","3.8","3.9","3.9","3.8"
,"Population per private occupied dwelling in population centres 5 6","3.7","4.1","4.3","3.8","3.6"
,"Population per private occupied dwelling in rural areas 5 6","4.7","3.6","3.5","4.0","3.9"
"Coastal Hudson Bay Lowland (ecoregion)","Total population","1,690","1,557","1,159","1,384","1,475"
,"Population in population centres 5","1,073","0","0","0","0"
,"Population in rural areas 5","617","1,557","1,159","1,384","1,475"
,"","Number per square kilometre",,,,
,"Total population density","0.029","0.027","0.020","0.024","0.025"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","63.5","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","36.5","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","555","575","466","499","549"
,"Private occupied dwellings in population centres 5 6","399","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","156","575","466","499","549"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.010","0.010","0.008","0.009","0.009"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.0","2.7","2.5","2.8","2.7"
,"Population per private occupied dwelling in population centres 5 6","2.7","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","4.0","2.7","2.5","2.8","2.7"
"Hudson Bay Lowland (ecoregion)","Total population","903","1,041","1,023","1,191","1,307"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","903","1,041","1,023","1,191","1,307"
,"","Number per square kilometre",,,,
,"Total population density","0.007","0.008","0.008","0.010","0.010"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","183","204","194","202","272"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","183","204","194","202","272"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.001","0.002","0.002","0.002","0.002"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.9","5.1","5.3","5.9","4.8"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","4.9","5.1","5.3","5.9","4.8"
"James Bay Lowland (ecoregion)","Total population","9,218","6,932","6,568","9,136","10,701"
,"Population in population centres 5","5,323","3,243","4,618","4,937","6,552"
,"Population in rural areas 5","3,895","3,689","1,950","4,199","4,149"
,"","Number per square kilometre",,,,
,"Total population density","0.055","0.041","0.039","0.055","0.064"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","57.7","46.8","70.3","54.0","61.2"
,"Population in rural areas as a share of total population 5","42.3","53.2","29.7","46.0","38.8"
,"","Number",,,,
,"Private occupied dwellings 6","2,134","1,761","1,605","2,294","2,766"
,"Private occupied dwellings in population centres 5 6","1,318","788","1,071","1,309","1,818"
,"Private occupied dwellings in rural areas 5 6","816","973","534","985","948"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.013","0.011","0.010","0.014","0.017"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.3","3.9","4.1","4.0","3.9"
,"Population per private occupied dwelling in population centres 5 6","4.0","4.1","4.3","3.8","3.6"
,"Population per private occupied dwelling in rural areas 5 6","4.8","3.8","3.7","4.3","4.4"

Symbol legend:
0<sup class="QILetter">s</sup>,  value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded,

Footnotes:
1,"Sources: Statistics Canada, Environment, Energy and Transportation Statistics Division, 2017; Statistics Canada, Census Program, 1971-2016; Statistics Canada, 2016 Census - Boundary Files, Catalogue no. 92-160-X (accessed November 16, 2016); Ecological Stratification Working Group, 1995, A National Ecological Framework for Canada, Agriculture and Agri-Food Canada, Research Branch, Centre for Land and Biological Resources Research and Environment Canada, State of the Environment Directorate, Ecozone Analysis Branch, Ottawa/Hull (accessed September 25, 2017); Soil Landscapes of Canada Working Group, 2010, Soil Landscapes of Canada, Version 3.2, Agriculture and Agri-Food Canada (accessed January 5, 2017); Natural Resources Canada, 2012, CanVec, Earth Sciences Sector, Mapping Information Branch, Centre for Topographic Information (accessed March 1, 2013)."
